FileID,Label
104_train.csv,0
107_train.csv,2
108_train.csv,3
11_train.csv,2
116_train.csv,0
118_train.csv,1
119_train.csv,1
123_train.csv,2
124_train.csv,3
125_train.csv,0
129_train.csv,2
136_train.csv,3
139_train.csv,0
142_train.csv,1
143_train.csv,3
147_train.csv,3
150_train.csv,3
151_train.csv,3
154_train.csv,1
164_train.csv,2
173_train.csv,1
177_train.csv,2
190_train.csv,2
20_train.csv,0
22_train.csv,2
26_train.csv,0
29_train.csv,3
32_train.csv,0
34_train.csv,0
44_train.csv,1
46_train.csv,1
47_train.csv,2
50_train.csv,0
52_train.csv,2
56_train.csv,2
58_train.csv,2
65_train.csv,1
66_train.csv,3
67_train.csv,0
72_train.csv,3
76_train.csv,2
79_train.csv,3
80_train.csv,3
81_train.csv,1
84_train.csv,0
85_train.csv,0
89_train.csv,3
9_train.csv,0
95_train.csv,1
